id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
561418072780605554,Double im Suburb Hostel,4109732,Thomas,,Penzing,48.21533,16.17153,Private room,20,1,9,2022-06-05,2.55,3,313,9,
39864901,Cozy home as close to nature as to Vienna 1,37411375,Michael,,Liesing,48.12474,16.27311,Private room,27,2,20,2022-04-26,0.65,3,249,13,
349560,Citycenter+Terrace + free garage,1771038,Agnes,,Landstra§e,48.20916,16.39557,Entire home/apt,95,7,32,2022-04-09,0.31,2,290,8,
349676,Close to metro U4,1771038,Agnes,,Margareten,48.18825,16.3478,Entire home/apt,89,31,41,2022-05-01,0.39,2,322,1,
15883,b&b near Old Danube river,62142,Eva,,Donaustadt,48.24262,16.42767,Hotel room,110,1,14,2021-10-07,0.16,4,361,3,
26544832,"Privatzimmer "" Zum Holzwurm "" ( 3 )",84461165,Heidi,,Favoriten,48.11194,16.44593,Entire home/apt,35,1,46,2021-01-11,0.96,5,126,0,
38768,central cityapartement- wifi- nice neighbourhood,166283,Hannes,,Leopoldstadt,48.21924,16.37831,Entire home/apt,74,7,347,2022-06-04,2.54,3,107,23,
358058,Feel at home with private! bathroom,1785960,Ulrike,,Ottakring,48.21912,16.30937,Private room,28,1,178,2022-06-03,1.43,2,223,11,
550530622194180286,Airport Villa m. Garten öffentl. Parkplatz v.d Tür,425883862,Michael,,Donaustadt,48.14489,16.52018,Entire home/apt,100,2,3,2022-05-03,0.73,1,98,3,
358337,Stadtnest Bed & Breakfast - Wien,1280395,Barbara,,Mariahilf,48.19283,16.34387,Private room,85,2,5,2022-05-29,0.08,2,353,2,
40625,"Near Palace Schönbrunn, Apt. 1",175131,Ingela,,Rudolfsheim-Fnfhaus,48.18434,16.32701,Entire home/apt,136,1,172,2022-06-02,1.19,15,148,14,
50262469,"Cozy, Comodo, gemütliche apartmen near the airport",170393960,Diana & Miguel,,Simmering,48.14626,16.47259,Entire home/apt,59,1,146,2022-06-06,12.84,1,36,146,
51287,little studio- next to citycenter- wifi- nice area,166283,Hannes,,Leopoldstadt,48.21778,16.37847,Entire home/apt,64,5,337,2022-06-05,2.44,3,88,27,
359822,"Central Park ""Garden Apartment""",1643928,Harry,,Landstra§e,48.19942,16.38022,Entire home/apt,37,1,382,2022-05-21,3.16,28,241,42,
25276575,"Privatzimmer  ""Zum Holzwurm"" (6 )",84461165,Heidi,,Favoriten,48.11107,16.44406,Entire home/apt,34,1,27,2021-09-26,0.56,5,126,6,
70637,Flat in the Center with Terrace,358842,Elxe,,Leopoldstadt,48.2176,16.38018,Private room,50,2,117,2021-06-25,0.86,3,220,1,
23152300,"Privatzimmer "" ZUM HOLZWURM "" ( 5 )",84461165,Heidi,,Favoriten,48.11128,16.44482,Entire home/apt,35,1,44,2022-06-07,0.91,5,354,7,
370985,Cosy apartment  near the old city,1869188,Peter,,Mariahilf,48.198,16.35492,Entire home/apt,50,3,153,2022-06-06,1.25,1,238,26,
375191,1 MONTH MIN Center room+ private shower+sink,518644,Michael,,Margareten,48.19339,16.36037,Private room,30,30,34,2020-08-09,0.96,32,342,0,
17229073,Unique Design and Art 2 Bedroom Apt  with Terrace,8915166,Katarina,,Simmering,48.14695,16.50423,Entire home/apt,58,3,142,2022-05-20,2.22,1,147,19,
375192,Experience Vienna’s Center with private shower,518644,Michael,,Margareten,48.19444,16.35969,Private room,34,1,65,2022-05-24,0.53,32,123,14,
75471,nice big apartment with balcony,363315,Wolfgang,,Ottakring,48.22207,16.31594,Entire home/apt,77,3,50,2019-01-02,0.38,1,0,0,
75500,Lovely Viennese apartment (2-4 p.),400857,Sabine,,Brigittenau,48.23493,16.36752,Entire home/apt,75,4,14,2019-12-01,0.11,1,272,0,
49650298,Modern Flat near Vienna with tropical garden,57484785,Tamara,,Simmering,48.14081,16.4694,Entire home/apt,76,2,4,2022-06-03,0.42,1,262,4,
90247,Beautiful New Central Apartment,489611,Diana,,Neubau,48.20599,16.3489,Entire home/apt,98,1,648,2022-05-24,4.78,2,272,17,
2251627,Sunshine Apartment - Private Parking & Sun Deck,11442608,Belinda & Andras,,Dbling,48.28349,16.31346,Entire home/apt,65,1,78,2022-02-26,0.78,3,303,3,
98210,CIty Center Zimmer mit eigener private Dusche,518644,Michael,,Margareten,48.19388,16.35859,Private room,45,1,103,2022-05-04,0.76,32,74,11,
109679,"Near Palace Schönbrunn, Apt. 4",175131,Ingela,,Rudolfsheim-Fnfhaus,48.18467,16.32795,Entire home/apt,95,1,125,2022-05-22,1.01,15,46,6,
111059,"Modern Apartment, 10min to the City",569644,Kateryna,,Hernals,48.22042,16.33377,Entire home/apt,52,3,154,2022-04-26,1.16,2,235,5,
392603,absolutely spectacular location,1963384,Caroline,,Innere Stadt,48.20904,16.37182,Entire home/apt,140,3,83,2022-05-29,0.70,1,226,5,
392756,VCA4 Palais Brambilla – classic studio city views,1833176,Markus,,Innere Stadt,48.21564,16.37199,Entire home/apt,109,3,32,2020-01-01,0.28,4,162,0,
392757,VCA3  Palais Brambilla - studio with city views,1833176,Markus,,Innere Stadt,48.21496,16.37161,Entire home/apt,100,2,91,2022-05-30,0.74,4,307,6,
392905,City Apartment 1- Palais Brambilla romantic style,1833176,Markus,,Innere Stadt,48.21351,16.37282,Entire home/apt,99,3,46,2022-06-05,0.39,4,323,5,
393961,City Apartment 2- Palais Brambilla - 1920ies style,1833176,Markus,,Innere Stadt,48.21318,16.37486,Entire home/apt,140,3,68,2022-04-25,0.62,4,317,5,
4398102,GÄSTEZIMMER nahe STADTRAND WIEN,14667539,Karin,,Liesing,48.12808,16.27673,Entire home/apt,27,5,46,2022-05-06,0.53,2,63,7,
397617,bright+colourful loft - near Hauptbahnhof,1986417,Mave,,Favoriten,48.17437,16.39339,Entire home/apt,170,4,178,2022-05-30,1.45,1,88,1,
114505,"Near Palace Schönbrunn, Apt. 5",175131,Ingela,,Rudolfsheim-Fnfhaus,48.18445,16.32722,Entire home/apt,95,1,120,2020-01-04,0.90,15,79,0,
16748513,Haus am Ufer,60216083,Paulina,,Dbling,48.29982,16.33935,Entire home/apt,173,4,6,2022-01-02,0.10,1,9,1,
121026,Feels-Like-Home Apt @ Praterstern,608240,Andrei,,Leopoldstadt,48.2158,16.39034,Entire home/apt,84,3,315,2022-06-07,2.35,2,295,43,
404083,nice apartment in central location,2015270,Christoph,,Leopoldstadt,48.2184,16.39906,Entire home/apt,75,2,219,2022-05-28,1.79,2,118,6,
31638537,Haus Iris Mauerbach,237161582,Iris,,Penzing,48.23582,16.19317,Entire home/apt,95,2,1,2019-08-17,0.03,1,248,0,
404657,"Sunny, quiet and central apartment with terrace",1693552,Joseph,,Mariahilf,48.19447,16.35099,Entire home/apt,73,180,57,2021-09-14,0.84,1,275,1,
131628,"Holiday Apartment ""Modern Vienna""",647465,Sylvia,,Ottakring,48.21543,16.30939,Entire home/apt,61,7,0,,,2,0,0,
16585138,Frische Luft und Ruhe tanken in einer Architektenvilla im Wienerwald,108350983,Walter,,Penzing,48.21168,16.1874,Entire home/apt,100,5,3,2018-10-20,0.05,1,257,0,
138264,Apartment with roofterrace (#1),675182,Stephanie,,Hernals,48.22353,16.31773,Entire home/apt,146,1,4,2022-04-24,0.09,14,275,2,
421218,Studio Apartment Naschmarkt,2094710,Christina,,Mariahilf,48.1978,16.3572,Entire home/apt,65,120,167,2020-11-28,1.36,1,1,0,
50233694,Wien Apartment Heurigenstraße von Perchtoldsdorf,181279378,Loredana,,Liesing,48.12657,16.26019,Entire home/apt,53,3,10,2022-05-01,1.06,2,285,10,
422021,Designer Studio at the Heart of Vienna,518644,Michael,,Margareten,48.19353,16.36057,Entire home/apt,65,1,55,2020-08-26,0.70,32,350,0,
422063,Min 1 Month Be at the center with private bathroom,518644,Michael,,Margareten,48.19536,16.35912,Private room,35,30,26,2022-04-13,0.64,32,305,1,
153988,City Center Apartment - Free Wifi unlimited,739130,Roman,,Alsergrund,48.21606,16.34875,Entire home/apt,52,1,140,2022-05-21,1.06,1,269,13,
41500257,Villa guest suite near Vienna,326487579,Mick,,Liesing,48.12623,16.27051,Entire home/apt,40,2,11,2022-05-30,0.49,1,317,10,
155762,"Cosy, urban, perfect location close to city center",748953,Andrea,,Leopoldstadt,48.22113,16.36907,Entire home/apt,55,20,9,2022-04-15,0.08,1,126,3,
163792,Apartment Vienna Simmering,651150,Klaus & Ligia,,Simmering,48.18022,16.41955,Entire home/apt,55,3,109,2022-03-16,0.83,1,1,7,
429820,LONG TERM Center Room +private shower+sink,518644,Michael,,Margareten,48.19465,16.36058,Private room,29,30,20,2022-05-31,0.16,32,337,2,
429821,Center room+private shower+sink,518644,Michael,,Margareten,48.19369,16.35899,Private room,39,30,1,2019-03-11,0.03,32,90,0,
16641735,Privat room suburb of Vienna and quiet countryside,9612025,Gabriele,,Liesing,48.12032,16.2087,Private room,25,1,96,2022-05-29,1.54,1,123,18,
430037,Sonata large 1-bedroom apartment nearJudenplatz,1391676,Christian,,Innere Stadt,48.21104,16.36991,Entire home/apt,188,1,43,2022-06-06,0.38,8,204,9,
169672,In the Heart of Vienna - Naschmarkt,808772,Astrid,,Wieden,48.19527,16.36374,Private room,36,2,373,2022-06-07,2.83,1,210,9,
31355309,Enjoy nature in the Wienerwald,20847270,Gerda,,Liesing,48.12094,16.20023,Private room,25,1,74,2022-06-03,1.82,1,144,36,
169752,Naschmarkt mini: modern studio in the center,809077,Martha,,Margareten,48.19469,16.35963,Entire home/apt,65,1,67,2022-06-06,0.78,7,37,7,
